"ID","Work Item Type","Title","Assigned To","State","Tags","Description"
"","Task","UIUXF801: Panel de poderes con costo y selección de objetivo","","To Do","panel-poderes; sprint-2; UIUXF801; Must","Listar los poderes disponibles junto a su costo de energía. Habilitar cada poder solo si el equipo tiene energía suficiente. Permitir seleccionar el objetivo del poder sobre el tablero. Mostrar tiempos de espera y usos restantes cuando aplique."
"","Issue","UIUXH10: Aviso visible de ventana de reacción","","To Do","contramedida-ui; sprint-2; UIUXH10; Must","Como usuario, quiero un aviso claro con el tiempo restante, para poder reaccionar a tiempo cuando un poder se activa en mi contra."
"","Task","UIUXF901: Aviso de ventana de reacción con cuenta regresiva","","To Do","contramedida-ui; sprint-2; UIUXF901; Must","Al notificarse una ventana de reacción, mostrar un aviso destacado con cuenta regresiva y una acción para anular el poder. El tiempo mostrado siempre proviene del sistema, nunca se calcula en el cliente."
"","Issue","UIUXH11: Interfaz clara durante la ronda simultánea","","To Do","salva-ui; sprint-2; UIUXH11; Must","Como usuario, quiero una interfaz clara durante la ronda de disparo simultáneo, para disparar con control en medio del ritmo intenso."
"","Task","UIUXF1001: Interfaz de la ronda simultánea con cadencia y retroalimentación","","To Do","salva-ui; sprint-2; UIUXF1001; Must","Mostrar la cuenta regresiva de la ventana de disparo simultáneo. Mantener el tablero rival activo para disparar. Mostrar visualmente el tiempo de espera entre disparos consecutivos y retroalimentación inmediata de cada resultado. En modos de equipo, distinguir las casillas marcadas por el compañero."
"","Issue","UIUXH12: Panel de indicadores para el operador","","To Do","dashboard; sprint-2; UIUXH12; Could","Como operador, quiero un panel con los indicadores clave, para visualizar de un vistazo el estado y desempeño del sistema."
"","Task","UIUXF1101: Panel mínimo de indicadores de negocio","","To Do","dashboard; sprint-2; UIUXF1101; Could","Panel con al menos dos indicadores visibles: comparación de disparos contados por el sistema frente a los contados por los clientes (deben coincidir), y la latencia P95 medida. Actualización periódica."
"","Issue","UIUXH13: Cierre de partida claro y manejo de errores","","To Do","pulido; sprint-2; UIUXH13; Must","Como usuario, quiero un cierre de partida claro y un manejo visible de errores, para tener una buena experiencia incluso cuando algo falla."
"","Task","UIUXF1201: Pantalla de victoria y manejo visible de errores","","To Do","pulido; sprint-2; UIUXF1201; Must","Pantalla de cierre que anuncia al equipo ganador con una opción para volver al lobby. Aviso visible ante errores del sistema. Indicación clara cuando el cliente intenta reconectarse automáticamente."
"","Epic","DOC-2: DOCUMENTATION","","To Do","documentacion; Must","EPIC: E3 — DOCUMENTATION. Agrupa las historias de usuario y tareas del área de documentación del MVP (2 sprints)."
"","Issue","DOCH01: Arquitectura documentada","","To Do","arquitectura; sprint-1; DOCH01; Must","Como evaluador, quiero la arquitectura del sistema documentada, para entender cómo está construido."
"","Task","DOCF001: Diagramas de despliegue y componentes","","To Do","arquitectura; sprint-1; DOCF001; Must","Diagrama de despliegue mostrando el cliente, el punto único de entrada al sistema, los distintos servicios internos que componen el backend, y los servicios externos (identidad, almacenamiento de estado compartido). Diagrama de los componentes que conforman cada servicio. Tabla de tecnologías con su justificación."
"","Issue","DOCH02: Acceso y comunicación documentados","","To Do","acceso-y-salas; sprint-1; DOCH02; Must","Como evaluador, quiero el flujo de acceso y comunicación documentado, para entender cómo opera el tiempo real."
"","Task","DOCF101: Secuencia de acceso y contrato de eventos","","To Do","acceso-y-salas; sprint-1; DOCF101; Must","Diagrama de secuencia del flujo completo de acceso (identificación, conexión, creación/unión a sala). Tabla con el contrato de todos los eventos en tiempo real: nombre, dirección, datos que transporta y propósito."
"","Issue","DOCH03: Motor del juego documentado","","To Do","motor; sprint-1; DOCH03; Must","Como evaluador, quiero el motor del juego documentado, para entender la lógica del dominio."
"","Task","DOCF201: Diagrama de clases del motor y de fases","","To Do","motor; sprint-1; DOCF201; Must","Diagrama de clases con las entidades principales del dominio (sala, tablero, barco, jugador, equipo, poder, motor de juego). Diagrama de la máquina de fases de la partida."
"","Issue","DOCH04: Concurrencia documentada","","To Do","concurrencia; sprint-2; DOCH04; Must","Como evaluador, quiero el manejo de concurrencia documentado, para evidenciar cómo se resuelve el principal reto técnico del proyecto."
"","Task","DOCF301: Diagramas de secuencia de la ronda simultánea y la ventana de reacción","","To Do","concurrencia; sprint-2; DOCF301; Must","Diagrama de secuencia de la ronda de disparo simultáneo, mostrando cómo se resuelve la exclusión entre disparos concurrentes a la misma casilla. Diagrama de secuencia de la ventana de reacción, mostrando su apertura, posible anulación y cierre."
"","Issue","DOCH05: Documentación de cierre y demo","","To Do","cierre; sprint-2; DOCH05; Must","Como evaluador, quiero la documentación de cierre del proyecto, para poder reproducir la demo y conocer su evolución prevista."
"","Task","DOCF401: Manual de demo y visión de evolución futura","","To Do","cierre; sprint-2; DOCF401; Must","Manual paso a paso para reproducir la demostración. Documentación de la visión de evolución del sistema más allá del MVP."
